"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C1","C0402","-165.2mil","343.7mil","-165.2mil","343.7mil","-186.66mil","343.7mil","T",0,"100nF"
"C2","C0805","181.25mil","341.88mil","181.25mil","341.88mil","181.25mil","381.25mil","T",270,"47uF"
"D1","SOD-323_L1.8-W1.3-LS2.5-RD","181.25mil","531.25mil","181.25mil","531.25mil","181.25mil","577.41mil","T",270,"1N5819WS"
"H1","HDR-TH_7P-P2.54-V-F","-300mil","425mil","-300mil","425mil","-300mil","725mil","T",270,"1165SDIG-07"
"H2","HDR-TH_7P-P2.54-V-F","300mil","425mil","300mil","425mil","300mil","725mil","T",270,"1165SDIG-07"
"H3","HDR-F-2.54_1X5","0mil","-56.25mil","0mil","-56.25mil","200mil","-56.25mil","T",180,"HDR-F-2.54_1x5"
"LED1","LED0805-R-RD","0mil","50mil","0mil","50mil","41.35mil","50mil","T",0,"17-21SUYC/TR8"
"R1","R0402","-167mil","625mil","-167mil","625mil","-149.96mil","625mil","T",180,"1kΩ"
"R2","R0402","-167mil","568.7mil","-167mil","568.7mil","-149.96mil","568.7mil","T",180,"4.7kΩ"
"R3","R0402","-167.04mil","512.5mil","-167.04mil","512.5mil","-184.08mil","512.5mil","T",0,"4.7kΩ"
"R4","R0402","-167mil","456.2mil","-167mil","456.2mil","-149.96mil","456.2mil","T",180,"1kΩ"
"R5","R0402","-167mil","400mil","-167mil","400mil","-184.04mil","400mil","T",0,"1kΩ"
"R6","R0402","-167.04mil","287.5mil","-167.04mil","287.5mil","-150mil","287.5mil","T",180,"1.5kΩ"
"R7","R0402","-167mil","231.2mil","-167mil","231.2mil","-149.96mil","231.2mil","T",180,"1kΩ"
"S1","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","-487.45mil","176.53mil","-487.45mil","176.53mil","-448.08mil","131.25mil","T",180,"1.0-3PS"
"S2","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","-487.45mil","526.53mil","-487.45mil","526.53mil","-448.08mil","481.25mil","T",180,"1.0-3PS"
"S3","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","493.75mil","701.53mil","493.75mil","701.53mil","533.12mil","656.25mil","T",180,"1.0-3PS"
"S4","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","493.75mil","350.03mil","493.75mil","350.03mil","533.12mil","304.75mil","T",180,"1.0-3PS"
"S5","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","-487.45mil","351.53mil","-487.45mil","351.53mil","-448.08mil","306.25mil","T",180,"1.0-3PS"
"S6","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","-487.45mil","701.53mil","-487.45mil","701.53mil","-448.08mil","656.25mil","T",180,"1.0-3PS"
"S7","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","493.75mil","526.53mil","493.75mil","526.53mil","533.12mil","481.25mil","T",180,"1.0-3PS"
"S8","CONN-SMD_3P-P1.00_DEALON_1.0-3PS","493.75mil","175.03mil","493.75mil","175.03mil","533.12mil","129.75mil","T",180,"1.0-3PS"
"SW1","SW-TH_MSK12C02","0mil","731.25mil","0mil","731.25mil","88.58mil","664.32mil","T",180,"MSK12CO2-SZ"
"U1","LGA-16_L3.0-W3.0-P0.50-TL","0mil","531.3mil","0mil","531.3mil","-55.12mil","570.67mil","T",0,"LIS3DHTR_C15134"
"U2","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","-1.09mil","362.39mil","-1.09mil","362.39mil","-56.21mil","399.79mil","T",180,"DW07D"
"U3","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","0mil","212.5mil","0mil","212.5mil","-45.24mil","249.9mil","T",270,"TP4057"
"U4","TH_L43.0-W-18.0-CR123A","0mil","475mil","0mil","475mil","748.03mil","475mil","B",180,"CR123A电池座"
"U5","SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BR","162.5mil","181.24mil","162.5mil","181.25mil","125.1mil","135.97mil","T",270,"24C02S(XBLW)"
